order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
6,22352,prior,4,1,12,30
8,3107,prior,5,4,6,17
13,45082,prior,2,6,17,1
14,18194,prior,49,3,15,3
15,54901,prior,51,3,11,2
17,36855,test,5,6,15,1
22,30822,prior,25,1,8,12
25,59897,prior,19,6,10,25
34,35220,test,20,3,11,8
37,52564,prior,1,4,17,1212
38,42756,train,6,6,16,24
40,382,prior,29,1,15,23
43,39630,prior,14,5,17,4
45,37913,prior,55,1,14,0
46,10951,prior,3,0,18,18
52,27498,prior,18,3,10,1
56,41591,prior,8,0,12,2
57,34016,prior,1,6,8,1212
61,12295,prior,2,1,9,7
64,5430,prior,8,0,16,6
65,26599,prior,9,2,10,11
67,5738,prior,4,3,12,6
74,3321,prior,31,5,21,14
83,41155,prior,7,6,20,20
84,21551,prior,36,2,16,5
85,4041,prior,25,5,11,7
90,43798,prior,14,2,16,13
91,5189,prior,54,0,14,3
92,56022,prior,13,6,9,6
94,40375,prior,5,3,16,8
96,17227,train,7,6,20,30
98,56463,train,41,3,8,14
100,62781,prior,1,2,13,1212
101,18783,prior,33,3,15,6
102,4988,prior,8,3,16,30
103,16694,prior,4,2,9,8
104,4645,prior,8,5,18,3
119,25967,prior,5,4,11,4
120,23750,prior,11,6,8,10
127,43629,prior,8,6,11,3
128,7440,prior,92,1,14,3
130,16288,prior,1,0,15,1212
131,34858,prior,42,3,10,2
134,15608,prior,7,1,8,30
135,55179,prior,13,2,12,6
142,8841,prior,43,4,22,9
145,49610,prior,1,4,12,1212
146,21343,prior,43,5,16,7
148,41523,prior,27,2,17,5
149,51424,prior,8,5,13,1
153,24173,prior,4,4,17,4
157,13055,prior,37,6,17,3
158,24721,prior,8,1,15,30
159,16286,prior,38,4,13,3
166,39287,prior,9,0,7,4
167,17547,prior,7,0,12,30
169,22517,prior,3,0,9,14
172,30618,prior,17,4,8,8
174,53965,prior,25,5,9,4
175,10358,prior,42,4,18,2
176,4209,prior,7,1,17,16
177,48308,prior,27,2,16,8
178,971,prior,2,3,11,19
184,18409,prior,6,0,19,30
187,26978,prior,43,5,16,9
188,58122,prior,18,6,11,2
194,48052,prior,30,0,13,1
195,14264,prior,38,0,16,15
198,21336,prior,10,1,9,30
200,21425,prior,2,5,22,21
209,40286,prior,4,0,17,21
210,43756,prior,26,2,22,14
213,33094,prior,16,3,18,9
214,503,prior,5,0,16,9
226,51011,train,4,0,12,30
229,47358,prior,7,0,22,8
232,56896,prior,1,6,14,1212
233,29724,prior,20,4,17,8
235,58701,prior,20,5,9,9
237,36603,prior,1,2,17,1212
239,51178,prior,39,4,9,9
243,62481,prior,3,2,10,30
248,30576,prior,8,5,10,9
250,34840,prior,13,1,7,17
253,44802,prior,7,2,15,7
254,12711,prior,43,6,16,5
255,4076,prior,30,0,20,3
257,35581,test,9,6,23,5
259,52205,prior,7,1,12,10
260,21630,prior,7,5,10,11
263,62875,prior,8,1,17,25
267,25414,prior,53,0,9,7
269,44103,prior,77,0,11,1
275,26030,prior,51,1,10,2
276,46527,prior,34,6,11,6
280,1059,prior,27,1,10,6
282,8456,prior,11,0,12,14
285,57561,prior,11,5,18,10
